bus_name_origen,nombre_geosadi,nemo,carrier,p_nom,costo_marginal_match,fuente_costo,CVP_manual,
SGDEHI03,S. GRANDE ARG,SGDEHIAR,hydro,64.3571,PENDIENTE,,,
SGDEHI04,S. GRANDE ARG,SGDEHIAR,hydro,64.3571,PENDIENTE,,,
SGDEHI05,S. GRANDE ARG,SGDEHIAR,hydro,64.3571,PENDIENTE,,,
SGDEHI06,S. GRANDE ARG,SGDEHIAR,hydro,64.3571,PENDIENTE,,,
SGDEHI13,S. GRANDE ARG,SGDEHIAR,hydro,64.3571,PENDIENTE,,,
GUEMTV13,GUEMES,GUEM,steam,126.495,SI,CVP_TERMICA,,
SGDEHI02,S. GRANDE ARG,SGDEHIAR,hydro,64.3571,PENDIENTE,,,
ACAJTG06,AGUA DEL CAJON,CAPE,ccgt,129.5526,SI,CVP_TERMICA,,
FUTAHI01,FUTALEUFU,FUTAHI,hydro,132.5,PENDIENTE,,,
FUTAHI02,FUTALEUFU,FUTAHI,hydro,132.5,PENDIENTE,,,
FUTAHI03,FUTALEUFU,FUTAHI,hydro,132.5,PENDIENTE,,,
FUTAHI04,FUTALEUFU,FUTAHI,hydro,132.5,PENDIENTE,,,
CRIVTV25,CDRO RIVADAVIA,CRIV,ccgt,0,NO,,CRIVTG21,
AR22EO01,P.E. ARAUCO II (ETAPAS 3 Y 4),AR22EO,wind,33.9117,NO,,P.E. Arauco II (Etapa 1 y 2),
LDLATG03,CT NEUQUEN,LDLA,ocgt,120.783,SI,CVP_TERMICA,,
LDLATG02,CT NEUQUEN,LDLA,ocgt,121.4543,SI,CVP_TERMICA,,
LDLATG01,CT NEUQUEN,LDLA,ocgt,118.3674,SI,CVP_TERMICA,,
ROCATG01,TERMOROCA,ROCA,ocgt,128.7,SI,CVP_TERMICA,,
COSTTV01,COSTANERA,COST,steam,84.12,SI,CVP_TERMICA,,
ARAUEO,P.E. ARAUCO,ARAUEO,wind,26,NO,,P.E. Arauco II (Etapa 1 y 2),
RTURTV01,RIO TURBIO,RTUR,steam,0,SI,CVP_TERMICA,,
RTURTV02,RIO TURBIO,RTUR,steam,0,SI,CVP_TERMICA,,
SMTUTG02,S.M. DE TUCUMAN,SMTU,ccgt,115.5,SI,CVP_TERMICA,,
CAU3FV01,P.S. CAUCHARI 3,CAU3FV,solar,105,SI,CVP_RENOVAR,,
CAU1FV01,P.S. CAUCHARI 1,CAU1FV,solar,105,SI,CVP_RENOVAR,,
CAU2FV01,P.S. CAUCHARI 2,CAU2FV,solar,105,SI,CVP_RENOVAR,,
LCASEO01,P.E. LA CASTELLANA,LCASEO,wind,100.8,SI,CVP_RENOVAR,,
COSTTV02,COSTANERA,COST,steam,84.7,SI,CVP_TERMICA,,
SMTUTG01,S.M. DE TUCUMAN,SMTU,ccgt,108.36,SI,CVP_TERMICA,,
LREYHB02,LOS REYUNOS,LREYHB,hydro,111.5,PENDIENTE,,,
LREYHB01,LOS REYUNOS,LREYHB,hydro,111.5,PENDIENTE,,,
POM1EO01,P.E. POMONA I,POM1EO,wind,104,SI,CVP_RENOVAR,,
ARAUEO,P.E. ARAUCO,ARAUEO,wind,26,NO,,P.E. Arauco II (Etapa 1 y 2),
COSTTV03,COSTANERA,COST,steam,81.184,SI,CVP_TERMICA,,
PPNOTG02,PLUSPETROL NORT,PPNO,ocgt,115.557,SI,CVP_TERMICA,,
PPNOTG01,PLUSPETROL NORT,PPNO,ocgt,112.8,SI,CVP_TERMICA,,
GUEMTG01,GUEMES,GUEM,ocgt,98.5,SI,CVP_TERMICA,,
NPUETV05,NUEVO PUERTO,NPUE,steam,103.6,SI,CVP_TERMICA,,
LDLATG05,CT NEUQUEN,LDLA,ocgt,105,SI,CVP_TERMICA,,
AR21EO01,P.E. ARAUCO II (ETAPA 1 Y 2),AR21EO,wind,113,SI,CVP_RENOVAR,,
BSASTV01,BUENOS AIRES,BSAS,ccgt,82.958,SI,CVP_TERMICA,,
LCA2TG01,Loma Campana 2,LCA2,ocgt,98.9733,SI,CVP_TERMICA,,
LCAMTG01,LOMA CAMPANA,LCAM,ocgt,92.4763,SI,CVP_TERMICA,,
LPUNFV,P.S. La Puna,LPUNFV,solar,104,SI,CVP_RENOVAR,,
ALT1FV,P.S. ALTIPLANO I,ALT1FV,solar,100,SI,CVP_RENOVAR,,
ARAUEO,P.E. ARAUCO,ARAUEO,wind,26,NO,,P.E. Arauco II (Etapa 1 y 2),
ARAUEO,P.E. ARAUCO,ARAUEO,wind,26,NO,,P.E. Arauco II (Etapa 1 y 2),
AVELDI01,C.T. AVELLANEDA. SANTA FE,AVEL,biogas,6.3,NO,,C.T. AVELLANEDA,
BAHIEO01,P.E. PAMPA ENERGÍA III,BAHI,wind,53.2,NO,,,P.E. Corti
BIC2EO01,P.E. DEL BICENTENARIO II (MATER),BIC2EO,wind,26,NO,mater,54.3,
BICEEO01,P.E. BICENTENARIO,BICEEO,wind,102,NO,mater,54.3,
LDLATG04,CT NEUQUEN,LDLA,ocgt,101.2512,SI,CVP_TERMICA,,
BROCFV01,P.S. CURA BROCHERO (MATER),BROCFV,solar,30.6,NO,mater,70,
BSROTV01,BM Santa Rosa,BSRO,biomass,15,NO,,,
ENE1EO01,P.E. ENERGETICA I,ENE1EO,wind,78,SI,CVP_RENOVAR,,
BVENEO01,P.E. DE LA BUENA VENTURA,BVENEO,wind,103.2,NO,mater,50.5,
MIRAEO01,P.E. MIRAMAR,MIRAEO,wind,98.6,SI,CVP_RENOVAR,,
LDCUTV15,LUJAN DE CUYO,LDCU,ccgt,90.59,SI,CVP_TERMICA_PROMEDIO,,
CALEFV,P.S. C.A. LA CALERA S.L.,CALEFV,solar,18.9449,NO,,,san luis
DSUDTV11,DOCK SUD,DSUD,ccgt,272.6495,NO,,DSUDCC09,
GNV1EO01,P.E. LA GENOVEVA,GNV1EO,wind,88.2,SI,CVP_RENOVAR,,
LPLCTG01,CG La Plata YPF,LPLC,ocgt,82.5383,SI,CVP_TERMICA,,
PPLEHI03,PICHI P. LEUFU,PPLEHI,hydro,95,PENDIENTE,,,
PPLEHI02,PICHI P. LEUFU,PPLEHI,hydro,95,PENDIENTE,,,
PPLEHI01,PICHI P. LEUFU,PPLEHI,hydro,95,PENDIENTE,,,
CHN2EO01,P.E. CHUBUT NORTE II,CHN2EO,wind,27,NO,,P.E. Chubut Norte,
CHNOEO01,PE Chubut Norte,CHNOEO,wind,29,NO,,P.E. Chubut Norte,
VGESTG18,VILLA GESELL,VGES,ocgt,80,SI,CVP_TERMICA,,
CORTEO01,P.E. MARIO CEBREIRO,CORTEO,wind,100.5,NO,,,P.E. Corti
SNICTV11,SAN NICOLAS,SNIC,steam,49.05,SI,CVP_TERMICA,,
SNICTV12,SAN NICOLAS,SNIC,steam,47.9,SI,CVP_TERMICA,,
ADTOHI01,AGUA DEL TORO,ADTOHI,hydro,75,PENDIENTE,,,
SNICTV13,SAN NICOLAS,SNIC,steam,42.8,SI,CVP_TERMICA,,
ADTOHI02,AGUA DEL TORO,ADTOHI,hydro,75,PENDIENTE,,,
CSOLFV01,Cerros del Sol,CSOLFV,solar,5,NO,,P.S. Cerros del Sol,
