gen_key,bus_id_origen,bus_name_origen,nombre_geosadi,carrier,pg_mw,pt_mw,stat,lat,lon,geo_match,match_type,bus_conexion500kv,bus_conexion500kv_name,n_saltos,camino
7643-3,7643,LDCUTG23,,ocgt,20.0,22.8,1,,,a_revisar,bfs,7216.0,GRAN MZA_132kV,3,LDCUTG23 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA
7644-4,7644,LDCUTG24,,ocgt,20.0,22.8,1,,,a_revisar,bfs,7216.0,GRAN MZA_132kV,3,LDCUTG24 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA
7645-G,7645,LDCUTG25,,ccgt,170.0,197.0,1,,,a_revisar,bfs,7216.0,GRAN MZA_132kV,3,LDCUTG25 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA
7651-1,7651,LDCUTV11,,steam,59.0,60.0,1,,,a_revisar,bfs,7216.0,GRAN MZA_132kV,3,LDCUTV11 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA
7652-2,7652,LDCUTV12,,steam,55.0,60.0,1,,,a_revisar,bfs,7216.0,GRAN MZA_132kV,3,LDCUTV12 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA
7653-3,7653,LDCUTV15,,ccgt,80.0,98.0,1,,,a_revisar,bfs,7216.0,GRAN MZA_132kV,3,LDCUTV15 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA
8605-2,8605,SPEDTG22,,ocgt,6.0,6.0,0,,,sin_match,bfs,8300.0,JUANCITO_132kV,2,SPEDTG22 -> SPED.JUJ -> JUANCITO
8609-1,8609,CATADI01,,diesel,22.4,22.4,1,,,sin_match,bfs,8292.0,RECREO_132kV,5,CATADI01 -> CATA.TER -> CATAMARC -> PICATA -> EM S.MARTIN -> RECREO
8659-1,8659,CHAMFVII,,solar,8.0,10.0,0,,,sin_match,bfs,8271.0,RIOJASUR_132kV,4,CHAMFVII -> PATQ33_01 -> PATQUIA -> EMPIQUETE63 -> RIOJASUR
8684-1,8684,SLTADI01,,diesel,14.0,15.0,0,,,sin_match,bfs,8120.0,COBOS_345kV,5,SLTADI01 -> SALTASUR -> SALTASUR -> SALTAEST -> COBOS -> COBOS
8689-1,8689,SCARFV01,,solar,12.368,15.46,1,,,sin_match,bfs,8120.0,COBOS_345kV,11,SCARFV01 -> PSSC33_02 -> PSSC33_01 -> CAFAYATE -> CAFAYATE -> PS_CAFAYATE -> P.GRANDE -> TRANCAS -> NOGALES -> METAN -> COBOS -> COBOS
8690-1,8690,SALTTG21,,ocgt,10.0,10.0,0,,,sin_match,bfs,8120.0,COBOS_345kV,4,SALTTG21 -> SALTASUR -> SALTAEST -> COBOS -> COBOS
8903-1,8903,VUNIFV,,solar,48.0,60.0,1,,,sin_match,bfs,8271.0,RIOJASUR_132kV,6,VUNIFV -> VUNIFV_33 -> V.UNION_33 -> V.UNION -> NONOGSTA -> EMPIQUETE63 -> RIOJASUR
8904-1,8904,AMA4FV,,solar,9.6,12.0,1,,,sin_match,sin_conexion,,,-1,
8905-4,8905,CAU4FV,,solar,80.0,100.0,0,,,sin_match,bfs,8120.0,COBOS_345kV,3,CAU4FV -> CAU4_33 -> ALTIPLANO -> COBOS
8906-5,8906,CAU5FV,,solar,80.0,100.0,0,,,sin_match,bfs,8120.0,COBOS_345kV,3,CAU5FV -> CAU5_33 -> ALTIPLANO -> COBOS
8907-1,8907,ARA1FV,,solar,40.0,50.0,1,,,sin_match,bfs,8271.0,RIOJASUR_132kV,4,ARA1FV -> ARAU33_2 -> ARAUCO_1 -> RIOJA NORTE -> RIOJASUR
8908-1,8908,LFLOTV01,,steam,30.0,35.0,1,,,sin_match,bfs,8230.0,BRACHO_132kV_2,3,LFLOTV01 -> LA FLORIDA -> CEV.POZO -> BRACHO1
