bus_id,bus_name,bus_name_psse,baskv_kv,ide,ide_desc,vm_pu,va_deg,parent_bus_id
5221,GRANFORMOSA_132kV_1,GR.FORMOSA A,132.0,1,PQ,,,5006
5232,RESISTEN_132kV_1,RESISTE1,132.0,1,PQ,,,5004
5234,RESISTEN_132kV_2,RESISTE2,132.0,1,PQ,,,5004
5237,CHACO_132kV,CHACO,132.0,1,PQ,,,5016
5242,P.PATRIA_132kV,P.PATRIA,132.0,1,PQ,,,5005
5250,RINCON_132kV,RINCON,132.0,1,PQ,,,5002
5252,S.ISIDRO_132kV_1,S.ISIDRO.A,132.0,1,PQ,,,5253
5290,MERCEDES_132kV,MERCEDES,132.0,1,PQ,,,5030
5322,S.ISIDRO_132kV_2,S.ISIDRO.B,132.0,1,PQ,,,5253
5330,GRANFORMOSA_132kV_2,GR.FORMOSA B,132.0,1,PQ,,,5006
5508,RESISTEN_33kV_1,RES.TER1,33.0,1,PQ,,,5004
5509,RESISTEN_33kV_2,RES.TER2,33.0,1,PQ,,,5004
5512,RINCON_33kV,RINC.TER,33.0,1,PQ,,,5002
5513,S.ISIDRO_33kV_1,ISID.TER,33.0,1,PQ,,,5253
5523,S.ISIDRO_33kV_2,ISID.TER,33.0,1,PQ,,,5253
5541,P.PATRIA_33kV_1,PPAT.TER2,33.0,1,PQ,,,5005
5580,MERCEDES_33kV,MERC.TER,33.0,1,PQ,,,5030
5671,YACYRETA_13.2kV_1,YACYHI01,13.2,2,PV - generador activo,,,5000
5672,YACYRETA_13.2kV_2,YACYHI02,13.2,2,PV - generador activo,,,5000
5673,YACYRETA_13.2kV_3,YACYHI03,13.2,2,PV - generador activo,,,5000
5674,YACYRETA_13.2kV_4,YACYHI04,13.2,2,PV - generador activo,,,5000
5675,YACYRETA_13.2kV_5,YACYHI05,13.2,2,PV - generador activo,,,5000
5676,YACYRETA_13.2kV_6,YACYHI06,13.2,2,PV - generador activo,,,5000
5677,YACYRETA_13.2kV_7,YACYHI07,13.2,2,PV - generador activo,,,5000
5678,YACYRETA_13.2kV_8,YACYHI08,13.2,2,PV - generador activo,,,5000
5679,YACYRETA_13.2kV_9,YACYHI09,13.2,2,PV - generador activo,,,5000
5680,YACYRETA_13.2kV_10,YACYHI10,13.2,2,PV - generador activo,,,5000
5681,YACYRETA_13.2kV_11,YACYHI11,13.2,2,PV - generador activo,,,5000
5682,YACYRETA_13.2kV_12,YACYHI12,13.2,2,PV - generador activo,,,5000
5683,YACYRETA_13.2kV_13,YACYHI13,13.2,2,PV - generador activo,,,5000
5684,YACYRETA_13.2kV_14,YACYHI14,13.2,2,PV - generador activo,,,5000
5685,YACYRETA_13.2kV_15,YACYHI15,13.2,2,PV - generador activo,,,5000
5686,YACYRETA_13.2kV_16,YACYHI16,13.2,2,PV - generador activo,,,5000
5687,YACYRETA_13.2kV_17,YACYHI17,13.2,4,isolated - unidad parada en snapshot,,,5000
5688,YACYRETA_13.2kV_18,YACYHI18,13.2,2,PV - generador activo,,,5000
5689,YACYRETA_13.2kV_19,YACYHI19,13.2,4,isolated - unidad parada en snapshot,,,5000
5690,YACYRETA_13.2kV_20,YACYHI20,13.2,4,isolated - unidad parada en snapshot,,,5000
5810,CHACO_33kV,CHA.TER1,33.0,1,PQ,,,5016
5829,GRANFORMOSA_33kV_1,FOR.TER1,33.0,1,PQ,,,5006
5842,GRANFORMOSA_33kV_2,FOR.TER2,33.0,1,PQ,,,5006
5998,P.PATRIA_33kV_2,PPAT.TER,33.0,1,PQ,,,5005
6200,ALMAFUE._132kV_1,ALMAFUE1,132.0,1,PQ,,,6000
6202,ALMAFUE._132kV_2,ALMAFUE2,132.0,1,PQ,,,6000
6203,A.CABRAL_132kV,A.CABRAL,132.0,1,PQ,,,6002
