load_key,bus_id_origen,bus_name_origen,pl_mw,stat,match_type,bus_destino,bus_destino_name,n_saltos,camino
2679-1,2679,APARTV01,130.0,1,bfs,2327,RAMALLO_132kV,2,APARTV01 -> SIDERAR -> RAMALLO2
2692-1,2692,AESPTG01,4.0,1,directo,2692,AES PARA_15kV_1,0,
2693-1,2693,AESPTG02,4.0,1,directo,2693,AES PARA_15kV_2,0,
2694-1,2694,AESPTV01,15.0,1,directo,2694,AES PARA_20kV,0,
2831-1,2831,MIRA13_02,14.923,1,bfs,2298,OLAVARRI_132kV_2,6,MIRA13_02 -> MIRAMAR -> MIRAMAR2 -> NECOCHE2 -> G.CHAVE1 -> CHILLAR -> OLAVARR2
2832-1,2832,PERG33_01,20.04,1,bfs,3120,RODRGUEZ_220kV_1,5,PERG33_01 -> PERGAMI2 -> RAMALLO1 -> RAMALLOB -> V. LIA -> RODRIGU1
2890-1,2890,CHA.TER,16.487,1,bfs,2206,B.BLANCA_132kV_1,3,CHA.TER -> CHANARES -> NORTE II -> B.BCA 1
3117-1,3117,TRUJUI1,49.293,1,bfs,3122,RODRGUEZ_220kV_2,1,TRUJUI1 -> RODRIGU2
3133-2,3133,TRUJUI2,49.293,1,bfs,3120,RODRGUEZ_220kV_1,1,TRUJUI2 -> RODRIGU1
3135-1,3135,A.BROWN2,77.499,0,bfs,3110,EZEIZA_220kV_1,5,A.BROWN2 -> E.ECHEVE -> PI-SCATA -> A.BROWN1 -> A.BROWN2 -> EZEIZA 2
3196-1,3196,MALVIBA1,79.153,1,bfs,3365,RODRGUEZ_132kV_5,2,MALVIBA1 -> P.I. N1 -> RODRIG01
3198-1,3198,CATONAS1,52.062,1,bfs,3122,RODRGUEZ_220kV_2,3,CATONAS1 -> MORON -> MORON 1 -> RODRIGU2
3199-1,3199,CATONAS2,52.062,1,bfs,3122,RODRGUEZ_220kV_2,3,CATONAS2 -> MORON -> MORON 1 -> RODRIGU2
3200-1,3200,9 JULIO,101.235,1,sin_conexion,,,-1,
3202-1,3202,ALT.LAF1,18.695,1,bfs,3110,EZEIZA_220kV_1,5,ALT.LAF1 -> G.CATAN1 -> PI-PINO -> PI-CANUE -> EZE1132 -> EZEIZA 2
3210-1,3210,AGRON.AZ,51.855,0,bfs,3120,RODRGUEZ_220kV_1,6,AGRON.AZ -> URQUIZA -> COLEG.GR -> COLEG220 -> MALAVER1 -> MORON 2 -> RODRIGU1
3210-2,3210,AGRON.AZ,76.216,1,bfs,3120,RODRGUEZ_220kV_1,6,AGRON.AZ -> URQUIZA -> COLEG.GR -> COLEG220 -> MALAVER1 -> MORON 2 -> RODRIGU1
3211-1,3211,ANGELETI,81.91,1,bfs,3110,EZEIZA_220kV_1,3,ANGELETI -> A.BROWN1 -> A.BROWN2 -> EZEIZA 2
3212-3,3212,AGRON.RO,76.216,1,bfs,3122,RODRGUEZ_220kV_2,5,AGRON.RO -> CIUDADEL -> RMEJ.MAR -> MORON -> MORON 1 -> RODRIGU2
3213-1,3213,AUSTRIA,147.963,1,bfs,3122,RODRGUEZ_220kV_2,6,AUSTRIA -> AGRON.RO -> CIUDADEL -> RMEJ.MAR -> MORON -> MORON 1 -> RODRIGU2
3214-1,3214,ALBERDI,95.293,1,bfs,3110,EZEIZA_220kV_1,5,ALBERDI -> P.MOREN1 -> PMORENO1 -> EZE-PMO1 -> PI.TRD 2 -> EZEIZA 2
3216-1,3216,A.BROWN1,77.499,1,bfs,3110,EZEIZA_220kV_1,2,A.BROWN1 -> A.BROWN2 -> EZEIZA 2
3217-1,3217,MATANZA2,52.975,1,bfs,3110,EZEIZA_220kV_1,6,MATANZA2 -> PI.AUTOD -> P.MOREN1 -> PMORENO1 -> EZE-PMO1 -> PI.TRD 2 -> EZEIZA 2
