bus_name_origen,geosadi_name,nemo,carrier,p_nom,marginal_cost_match,cost_source,CVP_manual,
BBLMDI04,MOTOR. B.BLANCA,BBLM,diesel,16.67,YES,CVP_THERMAL,,
BBLMDI02,MOTOR. B.BLANCA,BBLM,diesel,16.67,YES,CVP_THERMAL,,
BBLMDI01,MOTOR. B.BLANCA,BBLM,diesel,16.67,YES,CVP_THERMAL,,
BBLMDI03,MOTOR. B.BLANCA,BBLM,diesel,16.67,YES,CVP_THERMAL,,
PEP6EO,P.E. PAMPA ENERGÍA VI (MATER),PEP6,wind,138,NO,mater,62.9,
LEDE.TV03,LEDESMA,LEDE,ocgt,4.1067,NO,,LEDETV01,
CGOMDI04,CATADA DE GOMEZ,CGOM,diesel,16.5,YES,CVP_THERMAL,,
CGOMDI02,CATADA DE GOMEZ,CGOM,diesel,16.3,YES,CVP_THERMAL,,
CGOMDI03,CATADA DE GOMEZ,CGOM,diesel,16.5,YES,CVP_THERMAL,,
CGOMDI01,CATADA DE GOMEZ,CGOM,diesel,16.5,YES,CVP_THERMAL,,
PIRADI01,PIRANE,PIRA,diesel,15.7,YES,CVP_THERMAL,,
TINODI01,TINOGASTA ENARS,TINO,diesel,15,YES,CVP_THERMAL,,
LRIOTG23,LA RIOJA,LRIO,ocgt,12.94,YES,CVP_THERMAL,,
SFRATG01,SAN FRANCISCO,SFRA,ocgt,10.8,YES,CVP_THERMAL,,
DFUNTG01,DEAN FUNES,DFUN,ocgt,12.139,YES,CVP_THERMAL,,
LRIOTG21,LA RIOJA,LRIO,ocgt,12.96,YES,CVP_THERMAL,,
VMARTG02,VILLA MARIA,VMAR,ocgt,12.5,YES,CVP_THERMAL,,
DFUNTG02,DEAN FUNES,DFUN,ocgt,10.8,YES,CVP_THERMAL,,
VMARTG03,VILLA MARIA,VMAR,ocgt,10.1,YES,CVP_THERMAL,,
VMARTG01,VILLA MARIA,VMAR,ocgt,12.5,YES,CVP_THERMAL,,
BVILDI01,BELL VILLE,BVIL,diesel,15.6,YES,CVP_THERMAL,,
ANATDI02,AÑATUYA,ANAT,diesel,11.4,YES,CVP_THERMAL,,
LOBODI01,LOBOS ENARSA,LOBO,diesel,19.68,YES,CVP_THERMAL,,
CASTDI01,CASTELLI,CAST,diesel,13,YES,CVP_THERMAL,,
LINCDI01,LINCOLN,LINC,diesel,14,YES,CVP_THERMAL,,
PICADI01,P.IND.CAT ENARS,PICA,diesel,12.3,YES,CVP_THERMAL,,
MDAJTG17,MAR DE AJO,MDAJ,ocgt,13,YES,CVP_THERMAL,,
SPE2DI01,SAENZ PEÑA II,SPE2,diesel,7.7,YES,CVP_THERMAL,,
MDAJTG15,MAR DE AJO,MDAJ,ocgt,13.5,YES,CVP_THERMAL,,
PINFFV01,P.S. PAMPA DEL INFIERNO,PINFFV,solar,132,NO,mater,55.3,
PTR1TG24,PICO TRUNCADO 1,PTR1,ocgt,0,YES,CVP_THERMAL,,
PTR1TG25,PICO TRUNCADO 1,PTR1,ocgt,13.2,YES,CVP_THERMAL,,
ORADDI01,ORAN ENARSA,ORAD,diesel,14,YES,CVP_THERMAL,,
MDPATG19,MAR DEL PLATA,MDPA,ocgt,14.5,YES,CVP_THERMAL,,
MDPATG19,MAR DEL PLATA,MDPA,ocgt,14.5,YES,CVP_THERMAL,,
LMADHI01,LOS MADERAS,LMADHI,hydro,15,PENDING,,,
PILATV10,PILAR,PILA,steam,157.4816,NO,,PILACC11,
LMADHI02,LOS MADERAS,LMADHI,hydro,15,PENDING,,,
TER6TV21,COG Terminal 6,TER6,steam,84.1879,NO,,TER6CC11,
PTR1TG23,PICO TRUNCADO 1,PTR1,ocgt,14.5,YES,CVP_THERMAL,,
LRIOTG22,LA RIOJA,LRIO,ocgt,11.969,YES,CVP_THERMAL,,
VANGDI01,V.ANGELA ENARSA,VANG,diesel,12.5,YES,CVP_THERMAL,,
LMO1HI01,LOS MOLINOS,LMO1HI,hydro,12,PENDING,,,
LMO1HI03,LOS MOLINOS,LMO1HI,hydro,12,PENDING,,,
LMO1HI04,LOS MOLINOS,LMO1HI,hydro,12,PENDING,,,
LMO1HI02,LOS MOLINOS,LMO1HI,hydro,12,PENDING,,,
CONDHI02,C.H. A.CONDARCO,CONDHI,hydro,14.6539,PENDING,,,
CONDHI03,C.H. A.CONDARCO,CONDHI,hydro,14.6539,PENDING,,,
CERITV01,ECOENERG CERRI,CERI,steam,9.154,YES,CVP_THERMAL,,
VGESTG18,VILLA GESELL,VGES,ocgt,80,YES,CVP_THERMAL,,
VGESTG11,VILLA GESELL,VGES,ocgt,13.93,YES,CVP_THERMAL,,
PMA1EO01,P. MADRYN I ENARSA,PMA1EO,wind,75,NO,,P.E. Puerto Madryn I,
PMA2EO01,P. MADRYN II ENARSA,PMA2EO,wind,155,NO,,P.E. Puerto Madryn II,
RTERTG02,13 DE JULIO,RTER,ocgt,12.84,YES,CVP_THERMAL,,
LRISDI01,L.RIOJA SUR ENA,LRIS,diesel,10,YES,CVP_THERMAL,,
RTERTG01,13 DE JULIO,RTER,ocgt,12.84,YES,CVP_THERMAL,,
ULL4FV01,P.S. Ullum 4,ULL4FV,solar,13.5,YES,CVP_RENOVAR,,
CHLEDI01,CHILECITO ENARS,CHLE,diesel,10,YES,CVP_THERMAL,,
CDPITG21,CRUZ DE PIEDRA,CDPI,ocgt,0,YES,CVP_THERMAL,,
REOLHI03,BENJAMIN REOLIN,REOLHI,hydro,11,PENDING,,,
REOLHI02,BENJAMIN REOLIN,REOLHI,hydro,11,PENDING,,,
REOLHI01,BENJAMIN REOLIN,REOLHI,hydro,11,PENDING,,,
SSALDI01,S.SALVADOR ERIO,SSAL,diesel,10.8,YES,CVP_THERMAL,,
LPAZDI01,LA PAZ E.RIOS,LPAZ,diesel,10.8,YES,CVP_THERMAL,,
LPLADI01,LA PLATA,LPLA,diesel,40.4,YES,CVP_THERMAL,,
LPLADI03,LA PLATA,LPLA,diesel,10.5303,YES,CVP_THERMAL_AVERAGE,,
FIAMFV01,P.S. FIAMBALA,FIAMFV,solar,11,YES,CVP_RENOVAR,,
LPLADI02,LA PLATA,LPLA,diesel,9.8283,YES,CVP_THERMAL_AVERAGE,,
LPLADI04,LA PLATA,LPLA,diesel,9.5112,YES,CVP_THERMAL_AVERAGE,,
VIALDI01,VIALE E. RIOS,VIAL,diesel,4.6,YES,CVP_THERMAL,,
PERZDI03,PEREZ SECCO,PERZ,diesel,9.7,YES,CVP_THERMAL,,
OCAMDI05,VILLA OCAMPO,OCAM,diesel,9.6,YES,CVP_THERMAL,,
OCAMDI01,VILLA OCAMPO,OCAM,diesel,9.6,YES,CVP_THERMAL,,
PERZDI04,PEREZ SECCO,PERZ,diesel,9.8,YES,CVP_THERMAL,,
PERZDI02,PEREZ SECCO,PERZ,diesel,9.9,YES,CVP_THERMAL,,
PERZDI01,PEREZ SECCO,PERZ,diesel,9.7,YES,CVP_THERMAL,,
PERZDI05,PEREZ SECCO,PERZ,diesel,9.8,YES,CVP_THERMAL,,
PERZDI06,PEREZ SECCO,PERZ,diesel,9.8,YES,CVP_THERMAL,,
OCAMDI03,VILLA OCAMPO,OCAM,diesel,9.6,YES,CVP_THERMAL,,
PERZDI07,PEREZ SECCO,PERZ,diesel,9.8,YES,CVP_THERMAL,,
OCAMDI04,VILLA OCAMPO,OCAM,diesel,9.7,YES,CVP_THERMAL,,
OCAMDI02,VILLA OCAMPO,OCAM,diesel,9.7,YES,CVP_THERMAL,,
PERZDI08,PEREZ SECCO,PERZ,diesel,9.7,YES,CVP_THERMAL,,
PMISTV01,PPEL MISIONERO,PMIS,biomass,1.99,NO,,,
GRIOEO01,P.E. GARCIA DEL RIO,GRIOEO,wind,10,YES,CVP_RENOVAR,,
RCHITG03,RIO CHICO,RCHI,ocgt,0,YES,CVP_THERMAL,,
RAW1EO,RAWSON I  ENARSA,RAW1EO,wind,53,NO,mater,62.1,
CHARDI02,CHARATA ENARSA,CHAR,diesel,11.2,YES,CVP_THERMAL,,
