gen_key,bus_id_origen,bus_name_origen,nombre_geosadi,falta,carrier,pg_mw,pt_mw,stat,lat,lon,geo_match,match_type,bus_conexion500kv,bus_conexion500kv_name,n_saltos,camino,COMENTARIOS
6629-1,6629,CELEFV,,geo,solar,17.6,22,1,,,sin_match,bfs,6286,LUJAN.SL_132kV_2,5,CELEFV -> CELEFV_6.6 -> CASA6.6_1 -> CEMENTERA.AV -> NOGOLI -> LUJAN.SL,
8698-1,8698,LRI3FV01,P.S. 360 ENERGY LA RIOJA III,bus,solar,17.6,22,1,-29.31988168,-67.4247311,exacto,sin_conexion,,,-1,,
204-4,204,AL-FIAT4,ALUAR,ok,ocgt,20,20,1,-42.73785022,-65.05389714,manual,sin_conexion,,,-1,,parte de la red industrial ALUAR no se carga en pypsa
201-1,201,AL-FIAT1,ALUAR,ok,ocgt,18,20,1,-42.73785022,-65.05389714,manual,sin_conexion,,,-1,,parte de la red industrial ALUAR no se carga en pypsa
4620-1,4620,PARATG21,,geo,ocgt,17,17,0,,,sin_match,bfs,4247,GRAN.PNA_132kV,3,PARATG21 -> PARANA.N -> ELPINGO -> GRAN.PNA,
618-2,618,MANBDI02,CT MANANTIALES BEHR,bus,diesel,16.98,16.98,1,-45.66117891,-67.8097233,exacto,sin_conexion,,,-1,,
8604-1,8604,ISBATV01,ING.STA.BARBARA,bus,diesel,16.2,16.2,1,-27.46483886,-65.6537413,exacto,sin_conexion,,,-1,,
5608-1,5608,OBEMDI01,,geo,diesel,16,16.8,1,,,sin_match,bfs,5322,S.ISIDRO_132kV_2,5,OBEMDI01 -> OBERA -> OBERA -> T.OBERA -> ROCA_B1 -> S.ISIDRO.B,
4639-1,4639,ASECTV,C.T. ARROYO SECO,ok,steam,14.4,18,1,-33.1257655,-60.523892,exacto,manual,4282,R.OESTE_132kV_1,-1,,
659-1,659,DIA2EO01,P.E. DIADEMA II,bus,wind,15.903,29.4,1,-45.75424305,-67.66582875,exacto,sin_conexion,,,-1,,
5621-1,5621,VALPFV01,,geo,solar,15,25,1,,,sin_match,bfs,5237,CHACO_132kV,6,VALPFV01 -> PSVANG33 -> V.ANGELA -> V.ANGELA -> V.ANGE.NORT -> S.BERNARDO -> CHACO,
4609-1,4609,CLERDI01,,geo,diesel,14,15.6,0,,,sin_match,bfs,4222,C.ELIA_132kV,5,CLERDI01 -> COLON.ER -> COLON.ER -> C.URUGUA1 -> PI.BAS.ELI -> C.ELIA,
8684-1,8684,SLTADI01,,geo,diesel,14,15,0,,,sin_match,bfs,8120,COBOS_345kV,5,SLTADI01 -> SALTASUR -> SALTASUR -> SALTAEST -> COBOS -> COBOS,
8689-1,8689,SCARFV01,,geo,solar,12.368,15.46,1,,,sin_match,bfs,8120,COBOS_345kV,11,SCARFV01 -> PSSC33_02 -> PSSC33_01 -> CAFAYATE -> CAFAYATE -> PS_CAFAYATE -> P.GRANDE -> TRANCAS -> NOGALES -> METAN -> COBOS -> COBOS,
6687-1,6687,VMRSFV,,geo,solar,12,15,1,,,sin_match,bfs,6252,MALVINAS_132kV,12,VMRSFV -> PS.VMS2_02 -> PS.VMS23_02 -> PS.VMS23_01 -> PSF.V.M.S. -> S.ELENA -> S.J.DORMIDA -> V.TOTORAL -> TOTORAL NVA -> JE.MARIA -> JE.MARIA -> NORTE -> MALVINAS,
8690-1,8690,SALTTG21,,geo,ocgt,10,10,0,,,sin_match,bfs,8120,COBOS_345kV,4,SALTTG21 -> SALTASUR -> SALTAEST -> COBOS -> COBOS,
7600-3,7600,ANCHDI14,,geo,ocgt,9.73,10,0,,,a_revisar,bfs,7216,GRAN MZA_132kV,3,ANCHDI14 -> ANCHORIZ -> CRUZPIED -> GRAN MZA,
7600-1,7600,ANCHDI14,,geo,ocgt,9.73,10,0,,,a_revisar,bfs,7216,GRAN MZA_132kV,3,ANCHDI14 -> ANCHORIZ -> CRUZPIED -> GRAN MZA,
