gen_key,bus_name_origen,geosadi_name,carrier,bus,p_nom_mw,total_energy_mwh,average_power_mw,peak_power_mw,capacity_factor_pct
5606-1,PMISTV01,PPEL MISIONERO,biomass,S.ISIDRO_132kV_2,1.99,219.46,1.31,1.43,65.64
8652-2,GUEMTV12,GUEMES,steam,JUANCITO_132kV,59.49,218.14,1.3,56.27,2.18
6604-1,CSOLFV01,Cerros del Sol,solar,LUJAN.SL_132kV_2,5.0,213.77,1.27,4.59,25.45
3637-7,DSUDTG07,DOCK SUD,ocgt,EZEIZA_220kV_1,31.2,208.53,1.24,26.1,3.98
6640-1,LMO2HI01,LOS MOLINOS 2,hydro,ALMAFUE._132kV_2,4.0,196.3,1.17,1.51,29.21
8630-1,CADIHI12,CADILLAL,hydro,COBOS_345kV,6.3,188.37,1.12,1.15,17.8
8630-2,CADIHI12,CADILLAL,hydro,COBOS_345kV,6.3,188.37,1.12,1.15,17.8
4627-1,RUFIDI01,RUFINO STA FE,diesel,HENDERS2_132kV,31.9,162.24,0.97,28.36,3.03
7685-1,HON1FV01,P.S. C.HONDA 1,solar,GRAN MZA_132kV,3.0,153.34,0.91,2.61,30.43
7617-1,TAMBFV01,Proyecto Solar Tamberias (MATER),solar,NVA.SJUAN_132kV,100.0,150.89,0.9,2.52,0.9
